Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     4004     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, EventFunc> >::operator->() const
  0.00      0.00     0.00     4004     0.00     0.00  std::vector<boost::shared_ptr<Event>, std::allocator<boost::shared_ptr<Event> > >::operator[](unsigned int)
  0.00      0.00     0.00     4003     0.00     0.00  boost::shared_ptr<Event>::swap(boost::shared_ptr<Event>&)
  0.00      0.00     0.00     4003     0.00     0.00  Buffer::data()
  0.00      0.00     0.00     4003     0.00     0.00  Event::getName() const
  0.00      0.00     0.00     4003     0.00     0.00  boost::shared_ptr<Event>::operator->() const
  0.00      0.00     0.00     4003     0.00     0.00  void std::swap<Event*>(Event*&, Event*&)
  0.00      0.00     0.00     4002     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<char> >::_S_on_swap(std::allocator<char>&, std::allocator<char>&)
  0.00      0.00     0.00     4002     0.00     0.00  ServerTcpEvent::getBuf() const
  0.00      0.00     0.00     4002     0.00     0.00  boost::shared_ptr<Event>::get() const
  0.00      0.00     0.00     4002     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_M_swap_data(std::_Vector_base<char, std::allocator<char> >::_Vector_impl&)
  0.00      0.00     0.00     4002     0.00     0.00  std::__alloc_swap<std::allocator<char>, true>::_S_do_it(std::allocator<char>&, std::allocator<char>&)
  0.00      0.00     0.00     4002     0.00     0.00  std::vector<char, std::allocator<char> >::swap(std::vector<char, std::allocator<char> >&)
  0.00      0.00     0.00     3780     0.00     0.00  boost::shared_ptr<TcpConnection>::shared_ptr(boost::shared_ptr<TcpConnection> const&)
  0.00      0.00     0.00     3261     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::_S_key(std::_Rb_tree_node<std::pair<int const, boost::shared_ptr<TcpConnection> > > const*)
  0.00      0.00     0.00     3261     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00     3261     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00     3261     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::_S_value(std::_Rb_tree_node<std::pair<int const, boost::shared_ptr<TcpConnection> > > const*)
  0.00      0.00     0.00     3261     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00     3260     0.00     0.00  Buffer::hasData()
  0.00      0.00     0.00     3260     0.00     0.00  bool __gnu_cxx::operator==<char const*, std::vector<char, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&)
  0.00      0.00     0.00     3260     0.00     0.00  std::vector<char, std::allocator<char> >::end() const
  0.00      0.00     0.00     3260     0.00     0.00  std::vector<char, std::allocator<char> >::begin() const
  0.00      0.00     0.00     3260     0.00     0.00  std::vector<char, std::allocator<char> >::empty() const
  0.00      0.00     0.00     3009     0.00     0.00  boost::shared_ptr<Event>::shared_ptr(boost::shared_ptr<Event> const&)
  0.00      0.00     0.00     3005     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, EventFunc>, std::_Select1st<std::pair<std::string const, EventFunc> >, std::less<std::string>, std::allocator<std::pair<std::string const, EventFunc> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, EventFunc> > const*)
  0.00      0.00     0.00     3005     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, EventFunc>, std::_Select1st<std::pair<std::string const, EventFunc> >, std::less<std::string>, std::allocator<std::pair<std::string const, EventFunc> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, EventFunc> > const*)
  0.00      0.00     0.00     3003     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, boost::shared_ptr<EventTargetBase> > >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, boost::shared_ptr<EventTargetBase> > >*)
  0.00      0.00     0.00     3002     0.00     0.00  boost::shared_ptr<EventLoop>::operator->() const
  0.00      0.00     0.00     2522     0.00     0.00  Buffer::Buffer()
  0.00      0.00     0.00     2519     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > >::new_allocator()
  0.00      0.00     0.00     2519     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > >::~new_allocator()
  0.00      0.00     0.00     2519     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::get_allocator() const
  0.00      0.00     0.00     2519     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::_M_get_Node_allocator() const
  0.00      0.00     0.00     2519     0.00     0.00  std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > >::allocator<std::_Rb_tree_node<std::pair<int const, boost::shared_ptr<TcpConnection> > > >(std::allocator<std::_Rb_tree_node<std::pair<int const, boost::shared_ptr<TcpConnection> > > > const&)
  0.00      0.00     0.00     2519     0.00     0.00  std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > >::~allocator()
  0.00      0.00     0.00     2519     0.00     0.00  std::pair<int const, boost::shared_ptr<TcpConnection> >::~pair()
  0.00      0.00     0.00     2518     0.00     0.00  Buffer::~Buffer()
  0.00      0.00     0.00     2260     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::begin()
  0.00      0.00     0.00     2012     0.00     0.00  boost::function_base::empty() const
  0.00      0.00     0.00     2008     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, EventFunc>, std::_Select1st<std::pair<std::string const, EventFunc> >, std::less<std::string>, std::allocator<std::pair<std::string const, EventFunc> > >::_M_end()
  0.00      0.00     0.00     2007     0.00     0.00  CMutex::lock()
  0.00      0.00     0.00     2007     0.00     0.00  CMutex::unlock()
  0.00      0.00     0.00     2007     0.00     0.00  AutoMutex::AutoMutex(CMutex)
  0.00      0.00     0.00     2007     0.00     0.00  AutoMutex::~AutoMutex()
  0.00      0.00     0.00     2007     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, EventFunc> >::operator==(std::_Rb_tree_iterator<std::pair<std::string const, EventFunc> > const&) const
  0.00      0.00     0.00     2006     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, EventFunc>, std::_Select1st<std::pair<std::string const, EventFunc> >, std::less<std::string>, std::allocator<std::pair<std::string const, EventFunc> > >::_M_begin()
  0.00      0.00     0.00     2005     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, boost::shared_ptr<EventFactory> > >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, boost::shared_ptr<EventFactory> > >*)
  0.00      0.00     0.00     2004     0.00     0.00  boost::shared_ptr<EventLoop>::~shared_ptr()
  0.00      0.00     0.00     2004     0.00     0.00  std::map<std::string, EventFunc, std::less<std::string>, std::allocator<std::pair<std::string const, EventFunc> > >::end()
  0.00      0.00     0.00     2004     0.00     0.00  std::map<std::string, EventFunc, std::less<std::string>, std::allocator<std::pair<std::string const, EventFunc> > >::find(std::string const&)
  0.00      0.00     0.00     2004     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, EventFunc>, std::_Select1st<std::pair<std::string const, EventFunc> >, std::less<std::string>, std::allocator<std::pair<std::string const, EventFunc> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, EventFunc> >*, std::_Rb_tree_node<std::pair<std::string const, EventFunc> >*, std::string const&)
  0.00      0.00     0.00     2004     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, EventFunc>, std::_Select1st<std::pair<std::string const, EventFunc> >, std::less<std::string>, std::allocator<std::pair<std::string const, EventFunc> > >::find(std::string const&)
  0.00      0.00     0.00     2004     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, EventFunc>, std::_Select1st<std::pair<std::string const, EventFunc> >, std::less<std::string>, std::allocator<std::pair<std::string const, EventFunc> > >::_S_key(std::_Rb_tree_node_base const*)
